documente_id,Jahr_ED,genre_label_normalized,
00000-00,1897,E,
00001-00,1897,E,
00002-00,1897,E,
00003-00,1897,XE,
00004-00,1897,XE,
00005-00,1897,XE,
00006-00,1897,XE,
00007-00,1827,N,
00008-00,1870,,
00009-00,1871,XE,
00010-00,1871,,
00011-00,1871,,
00012-00,1872,N,
00013-00,1837,N,
00014-00,1827,N,
00015-00,1826,N,
00016-00,1797,M,
00017-00,1822,N,
00018-00,1821,N,
00019-00,1797,M,
00020-00,1824,N,
00021-00,1831,N,
00022-00,1838,N,
00023-00,1795,XE,
00024-00,1796,0E,
00025-00,1830,N,
00026-00,1829,N,
00027-00,1830,N,
00028-00,1830,N,
00029-00,1831,N,
00030-00,1831,N,
00031-00,1799,0E,
00032-00,1804,0E,
00033-00,1812,0E,
00034-00,1812,0E,
00035-00,1812,0E,
00036-00,1827,0E,
00037-00,1809,N,
00038-00,1809,N,
00039-00,1809,N,
00040-00,1827,N,
00041-00,1824,N,
00042-00,1816,M,
00043-00,1818,0E,
00044-00,1817,0E,
00045-00,1822,E,
00046-00,1847,E,
00047-00,1842,XE,
00048-00,1855,N,
00049-00,1871,0E,
00050-00,1801,N,
00051-00,1799,R,
00052-00,1781,N,
00053-00,1841,N,
00054-00,1841,N,
00055-00,1838,0,
00056-00,1820,0,
00057-00,1820,V ,
00058-00,1820,V,
00059-00,1820,E,
00060-00,1820,E,
00061-00,1820,V,
00062-00,1820,0P,
00063-00,1820,0P,
00064-00,1820,V,
00065-00,1820,V,
00066-00,1820,V,
00067-00,1820,V,
00068-00,1820,V,
00069-00,1820,Drama,
00070-00,1820,Lyrik,
00071-00,1821,0P,
00072-00,1821,E,
00073-00,1821,0P,
00074-00,1821,0P,
00075-00,1821,E,
00076-00,1822,0E,
00077-00,1822,0P,
00078-00,1822,0P,
00079-00,1822,E,
00080-00,1822,N,
00081-00,1822,N,
00082-00,1823,E,
00083-00,1823,E,
00084-00,1823,XE,
00085-00,1830,0E,
00086-00,1825,XE,
00087-00,1825,0E,
00088-00,1829,E,
00089-00,1829,V ,
00090-00,1829,N,
00091-00,1829,N,
00092-00,1814,E,
00093-00,1814,E,
00094-00,1814,E,
00095-00,1814,0E,
00096-00,1815,0E,
00097-00,1815,XE,
00098-00,1821,E,
00099-00,1821,E,
00100-00,1821,E,
00101-00,1821,E,
00102-00,1830,N,
00103-00,1830,Drama,
00104-00,1830,0E,
00105-00,1810,N,
00106-00,1874,0E,
00107-00,1886,XE,
00108-00,1842,N,
00109-00,1843,N,
00110-00,1843,XE,
00111-00,1845,0E,
00112-00,1877,XE,
00113-00,1899,0E,
00114-00,1899,0E,
00115-00,1828,N,
00116-00,1866,N,
00117-00,1831,N,
00118-00,1831,E,
00119-00,1830,N,
00120-00,1830,E,
00121-00,1820,0E,
00122-00,1820,E,
00123-00,1820,E,
00124-00,1820,E,
00125-00,1822,E,
00126-00,1822,E,
00127-00,1822,E,
00128-00,1822,0E,
00129-00,1822,E,
00130-00,1822,N,
00131-00,1823,E,
00132-00,1823,E,
00133-00,1823,E,
00134-00,1823,0E,
00135-00,1834,N,
00136-00,1834,N,
00137-00,1834,0E,
00138-00,1835,N,
00139-00,1835,N,
00140-00,1835,N,
00141-00,1824,E,
00142-00,1824,E,
00143-00,1825,N,
00144-00,1825,N,
00145-00,1825,E,
00146-00,1825,0E,
00147-00,1826,E,
00148-00,1826,0E,
00149-00,1826,E,
00150-00,1840,N,
00151-00,1840,N,
00152-00,1840,E,
00153-00,1840,N,
00154-00,1827,0E,
00155-00,1827,N,
00156-00,1827,XE,
00157-00,1827,0E,
00158-00,1827,E,
00159-00,1840,N,
00160-00,1840,N,
00161-00,1840,XE,
00162-00,1840,N,
00163-00,1819,0E,
00164-00,,,
00165-00,,,
00166-00,1827,N,
00167-00,1827,0E,
00168-00,1827,,
00169-00,1827,,
00170-00,1827,,
00171-00,1827,,
00172-00,1827,,
00173-00,1827,,
00174-00,1827,,
00175-00,1827,,
00176-00,1827,,
00177-00,1828,E,
00178-00,1828,N,
00179-00,1828,XE,
00180-00,1828,0E,
00181-00,1828,0E,
00182-00,1828,0E,
00183-00,1829,0E,
00184-00,1827,N,
00185-00,1830,0E,
00186-00,1829,E,
00187-00,1829,N,
00188-00,1829,0E,
00189-00,1828,0E,
00190-00,1828,E,
00191-00,1829,N,
00192-00,1830,0E,
00193-00,1828,N,
00194-00,1828,N,
00195-00,1830,E,
00196-00,1829,N,
00197-00,1829,E,
00198-00,1854,0E,
00199-00,1855,0E,
00200-00,1818,0E,
00201-00,1839,XE,
00202-00,1891,0E,
00203-00,1806,0E,
00204-00,1884,0E,
00205-00,1884,0E,
00206-00,1903,0R,
00207-00,1866,0E,
00208-00,1858,XE,
00209-00,1881,0E,
00210-00,1859,0E,
00211-00,1842,0E,
00212-00,1854,XE,
00213-00,1857,0E,
00214-00,1895,E,
00215-00,1905,XE,
00216-00,1905,0E,
00217-00,1816,0E,
00218-00,1810,0E,
00219-00,1899,0E,
00220-00,1810,0E,
00221-00,1915,0E,
00222-00,1922,0E,
00223-00,1874,0E,
00224-00,1903,0E,
00225-00,1916,0E,
00226-00,1851,0E,
00227-00,1859,0E,
00228-00,1858,0E,
00229-00,1919,0E,
00230-00,1858,0E,
00231-00,1905,0E,
00232-00,1866,0E,
00233-00,1865,0E,
00234-00,1860,0E,
00235-00,1828,0E,
00236-00,1906,0E,
00237-00,1857,0E,
00238-00,1853,0E,
00239-00,1858,0E,
00240-00,1858,0E,
00241-00,1856,XE,
00242-00,1857,0E,
00243-00,1856,0E,
00244-00,1853,XE,
00245-00,1828,0E,
00246-00,1857,0E,
00247-00,1861,0E,
00248-00,1858,0E,
00249-00,1798,0E,
00250-00,1786,0E,
00251-00,1860,0E,
00252-00,1897,0E,
00253-00,1899,0E,
00254-00,1853,0E,
00255-00,1874,0E,
00256-00,1917,0E,
00257-00,1860,0E,
00258-00,1809,N,
00259-00,1809,N,
00260-00,1809,N,
00261-00,1809,N,
00262-00,1809,N,
00263-00,1809,N,
00264-00,1796,0E,
00265-00,1855,0E,
00266-00,1850,0E,
00267-00,1865,0E,
00268-00,1821,0E,
00269-00,1904,0E,
00270-00,1937,0E,
00271-00,1817,0E,
00272-00,1817,0E,
00273-00,1817,0P,
00274-00,1853,XE,
00275-00,1843,XE,
00276-00,1843,XE,
00277-00,1857,XE,
00278-00,1858,XE,
00279-00,1852,0E,
00280-00,1849,E,
00281-00,1822,E,
00282-00,1818,E,
00283-00,1854,E,
00284-00,1817,E,
00285-00,1813,E,
00286-00,1830,E,
00287-00,1812,E,
00288-00,1853,XE,
00289-00,1882,E,
00290-00,1817,E,
00291-00,1855,E,
00292-00,1809,N,
00293-00,1815,0E,
00294-00,1814,E,
00295-00,1819,E,
00296-00,1817,E,
00297-00,1817,E,
00298-00,1817,E,
00299-00,1817,E,
00300-00,1813,E,
00301-00,1818,XE,
00302-00,1809,N,
00303-00,1816,E,
00304-00,1823,E,
00305-00,1860,E,
00306-00,1856,E,
00307-00,1914,E,
00308-00,1810,E,
00309-00,1810,E,
00310-00,1811,0E,
00311-00,1807,E,
00312-00,1811,E,
00313-00,1810,E,
00314-00,1808,E,
00315-00,1811,E,
00316-00,1811,E,
00317-00,1830,E,
00318-00,1860,E,
00319-00,1811,E,
00320-00,1908,E,
00321-00,1911,E,
00322-00,1911,E,
00323-00,1817,XE,
00324-00,1857,E,
00325-00,1853,E,
00326-00,1829,E,
00327-00,1829,E,
00328-00,1888,E,
00329-00,1876,E,
00330-00,1830,E,
00331-00,1856,E,
00332-00,1848,E,
00333-00,1859,E,
00334-00,1860,E,
00335-00,1818,E,
00336-00,1929,E,
00337-00,1853,E,
00338-00,1844,E,
00339-00,1853,E,
00340-00,1857,N,
00341-00,1858,E,
00342-00,1859,E,
00343-00,1855,XE,
00344-00,1859,XE,
00345-00,1880,M,
00346-00,1802,M,
00347-00,1808,M,
00348-00,1809,N,
00349-00,1829,M,
00350-00,1812,M,
00351-00,1812,M,
00352-00,1812,M,
00353-00,1812,M,
00354-00,1812,M,
00355-00,1812,M,
00356-00,1812,M,
00357-00,1812,M,
00358-00,1812,M,
00359-00,1812,M,
00360-00,1812,M,
00361-00,1812,M,
00362-00,1812,M,
00363-00,1812,M,
00364-00,1812,M,
00365-00,1812,M,
00366-00,1814,M,
00367-00,1836,M,
00368-00,1802,M,
00369-00,1802,M,
00370-00,1822,M,
00371-00,1822,M,
00372-00,1822,M,
00373-00,1822,M,
00374-00,1822,M,
00375-00,1822,M,
00376-00,1822,M,
00377-00,1822,M,
00378-00,1809,N,
00379-00,1809,N,
00380-00,1797,M,
00381-00,1825,N,
00382-00,1830,N,
00383-00,1809,N,
00384-00,1853,N,
00385-00,1857,N,
00386-00,1809,N,
00387-00,1809,N,
00388-00,1809,N,
00389-00,1857,N,
00390-00,1855,N,
00391-00,1856,N,
00392-00,1857,N,
00393-00,1856,N,
00394-00,1855,N,
00395-00,1838,N,
00396-00,1860,N,
00397-00,1872,N,
00398-00,1894,N,
00399-00,1897,N,
00400-00,1897,N,
00401-00,1897,N,
00402-00,1826,N,
00403-00,1840,N,
00404-00,1832,N,
00405-00,1859,N,
00406-00,1858,N,
00407-00,1878,N,
00408-00,1877,N,
00409-00,1869,N,
00410-00,1856,N,
00411-00,1857,N,
00412-00,1856,N,
00413-00,1862,N,
00414-00,1871,N,
00415-00,1828,N,
00416-00,1858,N,
00417-00,1874,N,
00418-00,1850,N,
00419-00,1856,N,
00420-00,1874,N,
00421-00,1856,N,
00422-00,1856,N,
00423-00,1866,N,
00424-00,1819,E,
00425-00,1827,N,
00426-00,1809,N,
00427-00,1888,N,
00428-00,1841,N,
00429-00,1853,N,
00430-00,1857,N,
00431-00,1869,N,
00432-00,1867,N,
00433-00,1857,N,
00434-00,1864,N,
00435-00,1855,N,
00436-00,1862,N,
00437-00,1875,N,
00438-00,1830,N,
00439-00,1906,N,
00440-00,1906,N,
00441-00,1900,N,
00442-00,1900,N,
00443-00,1860,N,
00444-00,1876,N,
00445-00,1876,N,
00446-00,1876,N,
00447-00,1847,N,
00448-00,1849,N,
00449-00,1836,N,
00450-00,1872,N,
00451-00,1829,N,
00452-00,1857,N,
00453-00,1852,N,
00454-00,1855,N,
00455-00,1835,N,
00456-00,1855,N,
00457-00,1872,N,
00458-00,1867,N,
00459-00,1859,N,
00460-00,1868,N,
00461-00,1858,N,
00462-00,1875,N,
00463-00,1865,N,
00464-00,1873,N,
00465-00,1883,N,
00466-00,1887,N,
00467-00,1907,N,
00468-00,1855,N,
00469-00,1832,N,
00470-00,1828,N,
00471-00,1924,N,
00472-00,1924,N,
00473-00,1924,N,
00474-00,,,
00475-00,1828,N,
00476-00,1819,0E,
00477-00,1854,N,
00478-00,1867,N,
00479-00,1862,N,
00480-00,1859,N,
00481-00,1863,N,
00482-00,1857,N,
00483-00,1862,N,
00484-00,1888,N,
00485-00,1838,N,
00486-00,1833,N,
00487-00,1866,N,
00488-00,1819,0E,
00489-00,1809,N,
00490-00,1830,N,
00491-00,1874,N,
00492-00,1861,N,
00493-00,1924,N,
00494-00,1900,N,
00495-00,1925,N,
00496-00,1848,N,
00497-00,1844,N,
00498-00,1845,N,
00499-00,1858,N,
00500-00,1842,N,
00501-00,1844,N,
00502-00,1876,N,
00503-00,1868,N,
00504-00,1882,N,
00505-00,1888,N,
00506-00,1883,N,
00507-00,1848,N,
00508-00,1852,N,
00509-00,1860,N,
00510-00,1809,N,
00511-00,1809,N,
00512-00,1809,N,
00513-00,1812,E,
00514-00,1826,N,
00515-00,1812,XE,
00516-00,1819,E,unknown
00517-00,1811,0E,unknown
00518-00,1812,E,unknown
00519-00,1813,E,unknown
00520-00,1801,0E,unknown
00521-00,1836,N,
00522-00,1803,0E,unknown
00523-00,1848,N,
00524-00,1837,N,
00525-00,1860,N,
00526-00,1864,N,
00527-00,1872,N,
00528-00,1865,N,
00529-00,1870,N,
00530-00,1865,N,
00531-00,1864,N,
00532-00,1860,N,
00533-00,1920,N,
00534-00,1942,N,
00535-00,1927,N,
00536-00,1884,R,
00537-00,1890,R,
00538-00,1836,R,
00539-00,1815,R,
00540-00,1805,R,
00541-00,1904,R,
00542-00,1818,E,
00543-00,1868,R,
00544-00,1913,R,
00545-00,1894,R,
00546-00,1897,R,
00547-00,1855,R,
00548-00,1850,R,
00549-00,1796,R,
00550-00,1809,R,
00551-00,1821,R,
00552-00,1774,R,
00553-00,1835,R,
00554-00,1907,R,
00555-00,1787,R,
00556-00,1799,R,
00557-00,1855,R,
00558-00,1880,R,
00559-00,1886,R,
00560-00,1804,R,
00561-00,1911,R,
00562-00,1915,R,
00563-00,1854,R,
00564-00,1808,R,
00565-00,1863,R,
00566-00,1891,R,
00567-00,1875,R,
00568-00,1855,R,
00569-00,1786,R,
00570-00,1801,R,
00571-00,1875,R,
00572-00,1827,R,
00573-00,1795,R,
00574-00,1798,R,
00575-00,1840,R,
00576-00,1832,R,
00577-00,1799,R,
00578-00,1796,R,
00579-00,1795,R,
00580-00,1817,0E,
00581-00,1795,0E,
00582-00,1795,0E,
00583-00,1795,0E,
00584-00,1795,0E,
00585-00,1795,0E,
00586-00,1795,0E,
00587-00,1805,0E,
00588-00,1805,0E,
00589-00,1805,0E,
00590-00,1805,0E,
00591-00,1805,0E,
00592-00,1795,M,
00593-00,1805,M,
00594-00,1805,N,
00595-00,1829,N,
00596-00,1830,N,
00597-00,1828,E,
00598-00,1828,E,
00599-00,1830,N,
00600-00,1829,N,
00601-00,1830,N,
00602-00,1830,N,
00603-00,1830,N,
00604-00,1830,N,
00605-00,1827,N,
00606-00,1830,0E,
00607-00,1830,0E,
00608-00,1829,E,
00609-00,1830,E,
00610-00,1829,E,
00611-00,1820,R,
00612-00,1866,0E,
00612-01,1866,0E,
00612-02,1866,0E,
00612-03,1866,0E,
00613-00,1866,0E,
00614-00,1866,0E,
00615-00,1866,0E,
00616-00,1864,N,
00616-01,1864,N,
00616-02,1864,N,
00616-03,1864,N,
00616-04,1864,N,
00616-05,1864,N,
00616-06,1864,N,
00617-00,1864,0P,
00617-01,1864,0P,
00617-02,1864,0P,
00617-03,1864,0P,
00617-04,1864,0P,
00617-05,1864,0P,
00617-06,1864,0P,
00617-07,1864,0P,
00617-08,1864,0P,
00618-00,1864,0E,
00619-00,1864,0E,
00620-00,1864,0E,
00621-00,1864,0PA,
00622-00,1864,0PA,
00623-00,1864,0E,
00624-00,1864,0PA,
00625-00,1864,E,
00625-01,1864,E,
00625-02,1864,E,
00625-03,1864,E,
00625-04,1864,E,
00625-05,1864,E,
00625-06,1864,E,
00626-00,1864,0PA,
00627-00,1864,0E,
00628-00,1845,R,
00629-00,1854,R,
00630-00,1857,R,
00631-00,1858,R,
00632-00,1854,R,
00633-00,1846,R,
00634-00,1841,R,
00635-00,1843,R,
00636-00,1859,R,
00637-00,1848,R,
00638-00,1819,N,
00639-00,1847,R,
00640-00,1856,R,
00641-00,,,
00642-00,1840,R,
00643-00,1846,R,
00644-00,1843,R,
00645-00,1845,R,
00646-00,1846,R,
00647-00,1846,R,
00648-00,1843,R,
00649-00,1844,R,
00650-00,1841,R,
00651-00,1858,R,
00652-00,1855,R,
00653-00,1879,R,
00654-00,1876,R,
00655-00,1871,R,
00656-00,1879,R,
00657-00,1864,R,
00658-00,1869,R,
00659-00,1876,R,
00660-00,1868,R,
00661-00,1879,R,
00662-00,1878,R,
00663-00,,,
00664-00,1871,R,
00665-00,1863,R,
00666-00,1861,R,
00667-00,1866,R,
00668-00,1867,R,
00669-00,1865,R,
00670-00,1869,R,
00671-00,1876,R,
00672-00,1865,R,
00673-00,1879,R,
00674-00,1862,R,
00675-00,1872,R,
00676-00,1863,R,
00677-00,1867,R,
00678-00,1885,R,
00679-00,1880,R,
00680-00,1884,R,
00681-00,1899,R,
00682-00,1890,R,
00683-00,1889,R,
00684-00,1896,R,
00685-00,1880,R,
00686-00,1887,R,
00687-00,1897,R,
00688-00,1888,R,
00689-00,1895,R,
00690-00,1894,R,
00691-00,1892,R,
00692-00,1897,R,
00693-00,1897,R,
00694-00,1895,R,
00695-00,1898,R,
00696-00,1888,R,
00697-00,1882,R,
00698-00,1887,R,
00699-00,1887,R,
00700-00,1899,R,
00701-00,1889,R,
00702-00,1896,R,
00703-00,1907,R,
00704-00,1903,R,
00705-00,1919,R,
00706-00,1910,R,
00707-00,1907,R,
00708-00,1904,R,
00709-00,1915,R,
00710-00,1913,R,
00711-00,1909,R,
00712-00,1914,R,
00713-00,1905,R,
00714-00,1903,R,
00715-00,1906,R,
00716-00,1909,R,
00717-00,1912,R,
00718-00,1918,R,
00719-00,1917,R,
00720-00,1920,R,
00721-00,1907,R,
00722-00,1918,R,
00723-00,1819,E,
00724-00,1911,R,
00725-00,1913,R,
00726-00,1914,R,
00727-00,1903,R,
00728-00,1866,0E,
00728-01,1866,0E,
00728-02,1866,0E,
00729-00,1866,0E,
00729-01,1866,0E,
00729-02,1866,0E,
00730-00,1865,0E,
00730-01,1865,0E,
00730-02,1865,0E,
00730-03,1865,0E,
00730-04,1865,0E,
00730-05,1865,0E,
00731-00,1865,0E,
00731-01,1865,0E,
00731-02,1865,0E,
00732-00,1865,M,
00733-00,1865,N,
00733-01,1865,N,
00733-02,1865,N,
00733-03,1865,N,
00733-04,1865,N,
00734-00,1865,0E,
00734-01,1865,0E,
00734-02,1865,0E,
00734-03,1865,0E,
00734-04,1865,0E,
00734-05,1865,0E,
00734-06,1865,0E,
00735-00,1865,N,
00735-01,1865,N,
00735-02,1865,N,
00735-03,1865,N,
00735-04,1865,N,
00735-05,1865,N,
00735-06,1865,N,
00736-00,1866,0P,
00737-00,1866,0E,
00738-00,1866,0E,
00738-02,1866,0E,
00739-04,1866,0E,
00740-00,1866,0X_Essay,
00741-00,1866,0P,
00742-01,1866,0P,
00743-00,1866,0P,
00744-00,1866,0P,
00745-00,1866,0P,
00746-01,1876,R,
00746-02,1876,R,
00746-03,1876,R,
00746-04,1876,R,
00746-05,1876,R,
00746-06,1876,R,
00746-07,1876,R,
00746-08,1876,R,
00746-09,1876,R,
00747-00,1876,0PB,
00748-00,1876,0PE,
00749-01,1865,0PE,
00749-02,1865,0PE,
